ImageNumber,ObjectNumber,Children_Cells_Count,Children_Nuclei_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,1,1,115.30973451327434,100.92035398230088,0,1
1,2,1,1,635.8306010928961,128.66666666666666,0,2
1,3,1,1,979.1150442477876,164.83185840707964,0,3
1,4,1,1,864.6797752808989,179.41011235955057,0,4
1,5,1,1,496.2857142857143,218.3,0,5
1,6,2,0,555.8181818181819,237.42045454545453,0,6
1,7,1,1,673.439226519337,592.5939226519337,0,7
1,8,2,0,898.0797101449275,605.8478260869565,0,8
1,9,0,0,644.531746031746,624.2380952380952,0,9
1,10,1,1,664.9065743944636,627.2837370242214,0,10
1,11,1,0,297.86206896551727,777.2463054187192,0,11
1,12,1,1,543.1445086705203,883.6820809248555,0,12
1,13,0,0,535.4392523364486,894.1028037383178,0,13
